x0000,y0000
0,0.4107055664,
5,0.4496459961,
10,0.4888305664,
15,0.5278930664,
20,0.5670166016,
25,0.6060180664,
30,0.6452026367,
35,0.6848144531,
40,0.7250976562,
45,0.7647705078,
50,0.8038330078,
55,0.8428955078,
60,0.882019043,
65,0.9216308594,
70,0.9607543945,
75,1.000305176,
80,1.039428711,
85,1.078491211,
90,1.117553711,
95,1.156616211,
100,1.195739746,
105,1.234741211,
110,1.273864746,
115,1.312866211,
120,1.351928711,
125,1.390991211,
130,1.430053711,
135,1.469116211,
140,1.508178711,
145,1.547241211,
150,1.586303711,
155,1.625366211,
160,1.664428711,
165,1.703491211,
170,1.742553711,
175,1.781616211,
180,1.820678711,
185,1.859741211,
190,1.898803711,
195,1.937866211,
200,1.976928711,
205,2.015991211,
210,2.055053711,
215,2.094116211,
220,2.133178711,
225,2.172241211,
230,2.211303711,
235,2.250366211,
240,2.289428711,
245,2.328491211,
250,2.367553711,
255,2.406616211,
