x0000,y0000
0,0.1375732422,
5,0.1745605469,
10,0.2119140625,
15,0.2493896484,
20,0.2874755859,
25,0.3216552734,
30,0.3607177734,
35,0.3994140625,
40,0.4384765625,
45,0.4754638672,
50,0.5131835938,
55,0.5505371094,
60,0.5883789062,
65,0.6256103516,
70,0.6640625,
75,0.7012939453,
80,0.7387695312,
85,0.7775878906,
90,0.8151855469,
95,0.8520507812,
100,0.8908691406,
105,0.9284667969,
110,0.966796875,
115,1.005859375,
120,1.044921875,
125,1.08190918,
130,1.112670898,
135,1.150512695,
140,1.189208984,
145,1.226806641,
150,1.265869141,
155,1.3046875,
160,1.343017578,
165,1.378173828,
170,1.417236328,
175,1.455078125,
180,1.494140625,
185,1.533203125,
190,1.561889648,
195,1.600097656,
200,1.638793945,
205,1.676025391,
210,1.715087891,
215,1.754150391,
220,1.793212891,
225,1.831298828,
230,1.870117188,
235,1.904296875,
240,1.943359375,
245,1.982421875,
250,2.01940918,
255,2.049560547,
