x0000,y0000
0,2.283508301,
5,2.260742188,
10,2.222900391,
15,2.183837891,
20,2.144775391,
25,2.105712891,
30,2.065795898,
35,2.021484375,
40,1.972045898,
45,1.931762695,
50,1.874389648,
55,1.846923828,
60,1.796264648,
65,1.754699707,
70,1.713867188,
75,1.659545898,
80,1.617431641,
85,1.572753906,
90,1.522216797,
95,1.480712891,
100,1.435546875,
105,1.385131836,
110,1.34375,
115,1.298828125,
120,1.248168945,
125,1.206054688,
130,1.162109375,
135,1.110961914,
140,1.065795898,
145,1.016235352,
150,0.9729003906,
155,0.927734375,
160,0.8787841797,
165,0.8331298828,
170,0.786315918,
175,0.7421875,
180,0.6927490234,
185,0.6473388672,
190,0.6022338867,
195,0.5559082031,
200,0.5096435547,
205,0.4583740234,
210,0.4167480469,
215,0.3723144531,
220,0.3220825195,
225,0.2801513672,
230,0.2337646484,
235,0.1892089844,
240,0.1434326172,
245,0.09826660156,
250,0.05310058594,
255,0.009643554688,
