x0000,y0000
0,0.2575683594,
5,0.2947998047,
10,0.3332519531,
15,0.3686523438,
20,0.4068603516,
25,0.4388427734,
30,0.4779052734,
35,0.5169677734,
40,0.5560302734,
45,0.5950927734,
50,0.6329345703,
55,0.6695556641,
60,0.7080078125,
65,0.7446289062,
70,0.7836914062,
75,0.8203125,
80,0.859375,
85,0.8972167969,
90,0.9351806641,
95,0.9729003906,
100,1.011962891,
105,1.049804688,
110,1.086425781,
115,1.124267578,
120,1.162109375,
125,1.201171875,
130,1.240234375,
135,1.268920898,
140,1.307495117,
145,1.345825195,
150,1.383544922,
155,1.422119141,
160,1.461181641,
165,1.500244141,
170,1.539306641,
175,1.574951172,
180,1.612548828,
185,1.650390625,
190,1.689453125,
195,1.718139648,
200,1.757202148,
205,1.795043945,
210,1.834106445,
215,1.871337891,
220,1.910400391,
225,1.949462891,
230,1.988525391,
235,2.026367188,
240,2.065429688,
245,2.099609375,
250,2.138671875,
255,2.177734375,
