x0000,y0000
0,0.260620117
5,0.298461914
10,0.336303711
15,0.373535156
20,0.411987305
25,0.446899414
30,0.484985352
35,0.516967773
40,0.556030273
45,0.595092773
50,0.634155273
55,0.673217773
60,0.71105957
65,0.747680664
70,0.786071777
75,0.822753906
80,0.859985352
85,0.8984375
90,0.9375
95,0.974121094
100,1.012817383
105,1.051025391
110,1.090087891
115,1.124755859
120,1.162597656
125,1.201171875
130,1.240234375
135,1.279296875
140,1.307983398
145,1.345825195
150,1.384887695
155,1.422119141
160,1.461181641
165,1.500244141
170,1.539306641
175,1.577270508
180,1.612548828
185,1.650390625
190,1.689453125
195,1.718139648
200,1.757202148
205,1.795043945
210,1.834106445
215,1.872070312
220,1.910400391
225,1.949462891
230,1.988525391
235,2.026367188
240,2.065429688
245,2.102051
250,2.138671875
255,2.173583984
