x0000,y0000
0,0.3531494141,
1,0.3582763672,
2,0.3636474609,
3,0.3729248047,
4,0.3801269531,
5,0.3858642578,
6,0.3942871094,
7,0.3997802734,
8,0.408203125,
9,0.4152832031,
10,0.4193115234,
11,0.4309082031,
12,0.4364013672,
13,0.4388427734,
14,0.4512939453,
15,0.4510498047,
16,0.4639892578,
17,0.4649658203,
18,0.4779052734,
19,0.4853515625,
20,0.4931640625,
21,0.4974365234,
22,0.5081787109,
23,0.5133056641,
24,0.5169677734,
25,0.5289306641,
26,0.5341796875,
27,0.5364990234,
28,0.5495605469,
29,0.5560302734,
30,0.5633544922,
31,0.5703125,
32,0.5755615234,
33,0.5859375,
34,0.5914306641,
35,0.5950927734,
36,0.6071777344,
37,0.6125488281,
38,0.6195068359,
39,0.6273193359,
40,0.6341552734,
41,0.6419677734,
42,0.6488037109,
43,0.6536865234,
44,0.6644287109,
45,0.6700439453,
46,0.6771240234,
47,0.6846923828,
48,0.6925048828,
49,0.6994628906,
50,0.7055664062,
51,0.7122802734,
52,0.7202148438,
53,0.7269287109,
54,0.7318115234,
55,0.7421875,
56,0.7479248047,
57,0.7559814453,
58,0.7623291016,
59,0.7696533203,
60,0.7775878906,
61,0.7836914062,
62,0.7904052734,
63,0.7983398438,
64,0.8045654297,
65,0.8123779297,
66,0.8198242188,
67,0.8255615234,
68,0.8343505859,
69,0.8399658203,
70,0.8477783203,
71,0.8557128906,
72,0.8618164062,
73,0.8696289062,
74,0.8765869141,
75,0.8819580078,
76,0.8911132812,
77,0.8975830078,
78,0.9039306641,
79,0.9112548828,
80,0.91796875,
81,0.927734375,
82,0.9338378906,
83,0.9384765625,
84,0.9489746094,
85,0.9552001953,
86,0.9608154297,
87,0.9696044922,
88,0.9759521484,
89,0.9854736328,
90,0.9912109375,
91,0.99609375,
92,1.005859375,
93,1.011962891,
94,1.015625,
95,1.026123047,
96,1.033325195,
97,1.0390625,
98,1.048339844,
99,1.053222656,
100,1.064453125,
101,1.070556641,
102,1.073608398,
103,1.083984375,
104,1.090087891,
105,1.093139648,
106,1.104736328,
107,1.110595703,
108,1.123046875,
109,1.125488281,
110,1.130981445,
111,1.142578125,
112,1.148681641,
113,1.151733398,
114,1.162109375,
115,1.168212891,
116,1.171264648,
117,1.181884766,
118,1.187988281,
119,1.201171875,
120,1.202392578,
121,1.208740234,
122,1.220703125,
123,1.223632812,
124,1.228637695,
125,1.240234375,
126,1.246337891,
127,1.248901367,
128,1.259765625,
129,1.265869141,
130,1.275146484,
131,1.280517578,
132,1.286376953,
133,1.294677734,
134,1.30078125,
135,1.306762695,
136,1.318359375,
137,1.324462891,
138,1.326904297,
139,1.337890625,
140,1.343994141,
141,1.347045898,
142,1.357910156,
143,1.363525391,
144,1.366577148,
145,1.378173828,
146,1.384765625,
147,1.396484375,
148,1.402587891,
149,1.404418945,
150,1.416015625,
151,1.422119141,
152,1.424804688,
153,1.435546875,
154,1.441650391,
155,1.444702148,
156,1.456298828,
157,1.462646484,
158,1.474609375,
159,1.479980469,
160,1.482788086,
161,1.494140625,
162,1.500244141,
163,1.502685547,
164,1.514404297,
165,1.519775391,
166,1.524902344,
167,1.535888672,
168,1.541137695,
169,1.552734375,
170,1.558837891,
171,1.560668945,
172,1.572265625,
173,1.578369141,
174,1.581176758,
175,1.594482422,
176,1.597900391,
177,1.600952148,
178,1.614746094,
179,1.618530273,
180,1.62878418,
181,1.636962891,
182,1.638793945,
183,1.650390625,
184,1.656494141,
185,1.658935547,
186,1.670410156,
187,1.676025391,
188,1.679077148,
189,1.692138672,
190,1.697021484,
191,1.70690918,
192,1.715087891,
193,1.716918945,
194,1.718139648,
195,1.734619141,
196,1.736572266,
197,1.748046875,
198,1.754150391,
199,1.756835938,
200,1.76953125,
201,1.773681641,
202,1.776733398,
203,1.791992188,
204,1.795043945,
205,1.798339844,
206,1.812744141,
207,1.814575195,
208,1.826171875,
209,1.832275391,
210,1.834716797,
211,1.846679688,
212,1.851806641,
213,1.856933594,
214,1.870361328,
215,1.872436523,
216,1.874389648,
217,1.874389648,
218,1.874389648,
219,1.874389648,
220,1.910400391,
221,1.912719727,
222,1.925048828,
223,1.929931641,
224,1.932739258,
225,1.948242188,
226,1.949462891,
227,1.952514648,
228,1.96875,
229,1.970458984,
230,1.982421875,
231,1.988525391,
232,1.990356445,
233,1.991577148,
234,2.008056641,
235,2.010009766,
236,2.026367188,
237,2.027587891,
238,2.030395508,
239,2.045898438,
240,2.048217773,
241,2.054321289,
242,2.066650391,
243,2.068481445,
244,2.073852539,
245,2.086181641,
246,2.088012695,
247,2.09753418,
248,2.105712891,
249,2.108154297,
250,2.118774414,
251,2.125244141,
252,2.128295898,
253,2.144287109,
254,2.146606445,
