x0000,y0000
0,1.736083984,
1,1.733154297,
2,1.718139648,
3,1.716186523,
4,1.713867188,
5,1.700683594,
6,1.696289062,
7,1.690673828,
8,1.679077148,
9,1.676025391,
10,1.671142578,
11,1.659545898,
12,1.656494141,
13,1.651611328,
14,1.639770508,
15,1.636962891,
16,1.632080078,
17,1.620117188,
18,1.617431641,
19,1.611328125,
20,1.599731445,
21,1.597900391,
22,1.591796875,
23,1.580200195,
24,1.577880859,
25,1.561889648,
26,1.559936523,
27,1.557617188,
28,1.544433594,
29,1.539306641,
30,1.533935547,
31,1.522827148,
32,1.519775391,
33,1.514404297,
34,1.502807617,
35,1.500244141,
36,1.494384766,
37,1.483276367,
38,1.480712891,
39,1.474609375,
40,1.463012695,
41,1.461181641,
42,1.455078125,
43,1.443481445,
44,1.440673828,
45,1.43347168,
46,1.422973633,
47,1.417236328,
48,1.407714844,
49,1.403320312,
50,1.397705078,
51,1.386108398,
52,1.383056641,
53,1.376953125,
54,1.366088867,
55,1.363525391,
56,1.357421875,
57,1.346191406,
58,1.343994141,
59,1.337890625,
60,1.326293945,
61,1.324462891,
62,1.318359375,
63,1.306762695,
64,1.301025391,
65,1.29675293,
66,1.285888672,
67,1.282714844,
68,1.275146484,
69,1.266113281,
70,1.260986328,
71,1.259765625,
72,1.246337891,
73,1.240478516,
74,1.229736328,
75,1.226806641,
76,1.220703125,
77,1.210205078,
78,1.207275391,
79,1.201171875,
80,1.189697266,
81,1.185546875,
82,1.181640625,
83,1.170166016,
84,1.166503906,
85,1.162109375,
86,1.150268555,
87,1.143798828,
88,1.14050293,
89,1.129394531,
90,1.123779297,
91,1.113037109,
92,1.109619141,
93,1.103515625,
94,1.093139648,
95,1.090087891,
96,1.083984375,
97,1.073486328,
98,1.069946289,
99,1.064453125,
100,1.052978516,
101,1.048339844,
102,1.040649414,
103,1.033325195,
104,1.027099609,
105,1.018066406,
106,1.013305664,
107,1.006591797,
108,0.9975585938,
109,0.9926757812,
110,0.9865722656,
111,0.9770507812,
112,0.9729003906,
113,0.966796875,
114,0.95703125,
115,0.9515380859,
116,0.9439697266,
117,0.9375,
118,0.9338378906,
119,0.9251708984,
120,0.9176025391,
121,0.9112548828,
122,0.9031982422,
123,0.8972167969,
124,0.8911132812,
125,0.8826904297,
126,0.8768310547,
127,0.8708496094,
128,0.8624267578,
129,0.8590087891,
130,0.8515625,
131,0.8427734375,
132,0.8377685547,
133,0.8315429688,
134,0.8231201172,
135,0.8176269531,
136,0.8099365234,
137,0.8034667969,
138,0.7979736328,
139,0.7904052734,
140,0.7839355469,
141,0.7778320312,
142,0.7708740234,
143,0.7641601562,
144,0.7565917969,
145,0.7498779297,
146,0.7427978516,
147,0.7366943359,
148,0.7302246094,
149,0.7232666016,
150,0.7149658203,
151,0.7091064453,
152,0.7034912109,
153,0.6973876953,
154,0.6890869141,
155,0.68359375,
156,0.6732177734,
157,0.6694335938,
158,0.6640625,
159,0.6536865234,
160,0.6497802734,
161,0.6441650391,
162,0.6341552734,
163,0.6297607422,
164,0.6225585938,
165,0.6146240234,
166,0.6091308594,
167,0.6027832031,
168,0.5950927734,
169,0.5887451172,
170,0.5816650391,
171,0.5751953125,
172,0.5690917969,
173,0.5618896484,
174,0.5559082031,
175,0.5491943359,
176,0.5394287109,
177,0.5346679688,
178,0.5291748047,
179,0.5169677734,
180,0.5145263672,
181,0.5096435547,
182,0.4974365234,
183,0.4949951172,
184,0.4899902344,
185,0.4779052734,
186,0.4754638672,
187,0.4702148438,
188,0.4583740234,
189,0.4556884766,
190,0.4504394531,
191,0.4388427734,
192,0.4351806641,
193,0.4304199219,
194,0.4193115234,
195,0.4156494141,
196,0.4095458984,
197,0.3997802734,
198,0.3956298828,
199,0.3881835938,
200,0.3802490234,
201,0.3758544922,
202,0.369140625,
203,0.3607177734,
204,0.3565673828,
205,0.3500976562,
206,0.3411865234,
207,0.3365478516,
208,0.3289794922,
209,0.3216552734,
210,0.3162841797,
211,0.3089599609,
212,0.3021240234,
213,0.2967529297,
214,0.2889404297,
215,0.2825927734,
216,0.2769775391,
217,0.2689208984,
218,0.2628173828,
219,0.2568359375,
220,0.2485351562,
221,0.2427978516,
222,0.236328125,
223,0.2288818359,
224,0.2225341797,
225,0.2165527344,
226,0.2088623047,
227,0.2021484375,
228,0.1960449219,
229,0.1890869141,
230,0.1823730469,
231,0.1751708984,
232,0.16796875,
233,0.1617431641,
234,0.1550292969,
235,0.1483154297,
236,0.1412353516,
237,0.1342773438,
238,0.1273193359,
239,0.1208496094,
240,0.1136474609,
241,0.1068115234,
242,0.1002197266,
243,0.09338378906,
244,0.0869140625,
245,0.08020019531,
246,0.07312011719,
247,0.06640625,
248,0.05981445312,
249,0.05310058594,
250,0.04577636719,
251,0.0390625,
252,0.03161621094,
253,0.0244140625,
254,0.01708984375,
