x0000,y0000
0,0.142211914
5,0.179443359
10,0.21685791
15,0.255126953
20,0.291748047
25,0.327758789
30,0.365600586
35,0.399780273
40,0.438842773
45,0.477905273
50,0.516967773
55,0.552978516
60,0.591430664
65,0.628662109
70,0.666503906
75,0.703735352
80,0.7421875
85,0.779541016
90,0.816650391
95,0.855407715
100,0.891723633
105,0.930053711
110,0.968017578
115,1.005859375
120,1.044921875
125,1.083984375
130,1.11328125
135,1.151123047
140,1.189575195
145,1.226928711
150,1.265869141
155,1.304931641
160,1.343994141
165,1.381835938
170,1.417236328
175,1.455566406
180,1.494140625
185,1.533203125
190,1.561889648
195,1.600341797
200,1.638793945
205,1.677856445
210,1.715087891
215,1.754150391
220,1.793212891
225,1.832275391
230,1.870117188
235,1.906738
240,1.943359375
245,1.976196289
250,2.011108398
255,2.049377441
