x0000,y0000
0,0.01220703125,
5,0.01220703125,
10,0.01220703125,
15,0.01525878906,
20,0.05310058594,
25,0.08972167969,
30,0.1274414062,
35,0.1642456055,
40,0.2032470703,
45,0.2410888672,
50,0.2780151367,
55,0.3161010742,
60,0.3533935547,
65,0.391784668,
70,0.4272460938,
75,0.4632568359,
80,0.4974365234,
85,0.5364990234,
90,0.5755615234,
95,0.6135253906,
100,0.6512451172,
105,0.6884765625,
110,0.7252197266,
115,0.762512207,
120,0.8005981445,
125,0.8374023438,
130,0.8752441406,
135,0.9112548828,
140,0.9499511719,
145,0.9875488281,
150,1.025390625,
155,1.064453125,
160,1.103515625,
165,1.142578125,
170,1.181640625,
175,1.210327148,
180,1.253540039,
185,1.287231445,
190,1.326293945,
195,1.363525391,
200,1.402587891,
205,1.44128418,
210,1.479492188,
215,1.518554688,
220,1.552734375,
225,1.591796875,
230,1.620483398,
235,1.659545898,
240,1.697998047,
245,1.736450195,
250,1.775512695,
255,1.812744141,
