x0000,y0000
0,2.09185791,
5,2.079467773,
10,2.078369141,
15,2.072143555,
20,2.059936523,
25,2.054443359,
30,2.040405273,
35,2.032958984,
40,2.015991211,
45,1.996826172,
50,1.97644043,
55,1.944702148,
60,1.915893555,
65,1.877746582,
70,1.83605957,
75,1.786987305,
80,1.744140625,
85,1.695922852,
90,1.649291992,
95,1.602783203,
100,1.551818848,
105,1.50390625,
110,1.453063965,
115,1.402160645,
120,1.356628418,
125,1.304199219,
130,1.256286621,
135,1.205322266,
140,1.156555176,
145,1.106689453,
150,1.056762695,
155,1.006958008,
160,0.9576416016,
165,0.908203125,
170,0.8579711914,
175,0.810546875,
180,0.7580566406,
185,0.712890625,
190,0.6591796875,
195,0.6084594727,
200,0.5590820312,
205,0.5078735352,
210,0.4594726562,
215,0.4095458984,
220,0.361328125,
225,0.3106689453,
230,0.2607421875,
235,0.2111816406,
240,0.161315918,
245,0.1120605469,
250,0.06225585938,
255,0.01220703125,
