x0000,y0000
0,0.3747558594,
5,0.4125976562,
10,0.4510498047,
15,0.48828125,
20,0.5268554688,
25,0.5609130859,
30,0.5989990234,
35,0.6341552734,
40,0.6732177734,
45,0.7122802734,
50,0.7513427734,
55,0.7883300781,
60,0.8264160156,
65,0.8624267578,
70,0.9010009766,
75,0.9379882812,
80,0.9765625,
85,1.015014648,
90,1.052856445,
95,1.091308594,
100,1.129150391,
105,1.168212891,
110,1.20703125,
115,1.245117188,
120,1.280517578,
125,1.318359375,
130,1.357421875,
135,1.39440918,
140,1.425170898,
145,1.463012695,
150,1.502075195,
155,1.539306641,
160,1.578369141,
165,1.617431641,
170,1.656494141,
175,1.694580078,
180,1.731933594,
185,1.768066406,
190,1.806640625,
195,1.845703125,
200,1.874389648,
205,1.912841797,
210,1.951293945,
215,1.990356445,
220,2.027954102,
225,2.066650391,
230,2.105712891,
235,2.14453125,
240,2.182617188,
245,2.221679688,
250,2.255859375,
255,2.294921875,
