x0000,y0000
0,2.142944336
1,2.138061523
2,2.138061523
3,2.135620117
4,2.132751465
5,2.130737305
6,2.118530273
7,2.118530273
8,2.113647461
9,2.110595703
10,2.098999023
11,2.094116211
12,2.079467773
13,2.074707031
14,2.059936523
15,2.052001953
16,2.033081055
17,2.007446289
18,1.978881836
19,1.942749023
20,1.907348633
21,1.875
22,1.827026367
23,1.786499023
24,1.744873047
25,1.703491211
26,1.661987305
27,1.617004395
28,1.57598877
29,1.533447266
30,1.490539551
31,1.448974609
32,1.398681641
33,1.357421875
34,1.312439
35,1.270874023
36,1.226135254
37,1.182373047
38,1.142578125
39,1.093139648
40,1.046875
41,1.005859375
42,0.958251953
43,0.913696289
44,0.869140625
45,0.823364258
46,0.777587891
47,0.732421875
48,0.693359375
49,0.643371582
50,0.597167969
51,0.551879883
52,0.506591797
53,0.461975098
54,0.415039063
55,0.369873047
56,0.321166992
57,0.275878906
58,0.229492188
59,0.184326172
60,0.138793945
61,0.093994141
62,0.047180176
63,0.002319336
