x0000,y0000
0,0.01086425781,
5,0.01086425781,
10,0.01062011719,
15,0.01062011719,
20,0.04833984375,
25,0.08508300781,
30,0.1232910156,
35,0.16015625,
40,0.19921875,
45,0.2375488281,
50,0.2752685547,
55,0.3112792969,
60,0.3489990234,
65,0.3851318359,
70,0.4241943359,
75,0.4583740234,
80,0.4974365234,
85,0.5364990234,
90,0.5737304688,
95,0.6107177734,
100,0.6488037109,
105,0.6860351562,
110,0.7229003906,
115,0.7611083984,
120,0.7983398438,
125,0.8361816406,
130,0.8721923828,
135,0.9106445312,
140,0.9484863281,
145,0.986328125,
150,1.025390625,
155,1.064453125,
160,1.103515625,
165,1.142578125,
170,1.171264648,
175,1.210327148,
180,1.248657227,
185,1.287231445,
190,1.325439453,
195,1.363525391,
200,1.402587891,
205,1.440429688,
210,1.479492188,
215,1.513916016,
220,1.552734375,
225,1.591796875,
230,1.620483398,
235,1.659545898,
240,1.697998047,
245,1.736450195,
250,1.775512695,
255,1.812744141,
