x0000,y0000
0,0.1611328125,
5,0.2001953125,
10,0.2395019531,
15,0.2785644531,
20,0.3176269531,
25,0.3565063477,
30,0.3961181641,
35,0.435546875,
40,0.4748535156,
45,0.517578125,
50,0.556640625,
55,0.595703125,
60,0.634765625,
65,0.673828125,
70,0.712890625,
75,0.751953125,
80,0.791015625,
85,0.830078125,
90,0.869140625,
95,0.908203125,
100,0.947265625,
105,0.986328125,
110,1.025390625,
115,1.064453125,
120,1.103515625,
125,1.142578125,
130,1.181640625,
135,1.220703125,
140,1.259765625,
145,1.298828125,
150,1.337890625,
155,1.376953125,
160,1.416015625,
165,1.455078125,
170,1.494140625,
175,1.53314209,
180,1.572143555,
185,1.610595703,
190,1.649780273,
195,1.688842773,
200,1.727905273,
205,1.766845703,
210,1.806030273,
215,1.845031738,
220,1.884155273,
225,1.923217773,
230,1.962280273,
235,2.001342773,
240,2.040405273,
245,2.079467773,
250,2.118530273,
255,2.157592773,
